#,Name,Spot[0],Spot[1],Spot[2],Image,Unknown0,Unknown1,Instance,Unknown2,Time[0],Time[1],Time[2]
0,,0,0,0,0,0,0,0,0,0,0,0
1,Détroit nord de Merlthor,2,1,3,63172,0,0,721,0,1,2,3
2,Détroit nord de Merlthor,2,1,3,63172,0,0,730,0,2,3,1
3,Détroit nord de Merlthor,2,1,3,63172,0,0,731,0,3,1,2
4,Mer de Rhotano,1,2,4,63171,0,0,732,0,1,2,3
5,Mer de Rhotano,1,2,4,63171,0,0,733,0,2,3,1
6,Mer de Rhotano,1,2,4,63171,0,0,734,0,3,1,2
7,Mer Pourpre,5,3,6,63173,0,0,770,0,1,2,3
8,Mer Pourpre,5,3,6,63173,0,0,771,0,2,3,1
9,Mer Pourpre,5,3,6,63173,0,0,772,0,3,1,2
10,Golfe de Rothlyt,5,4,7,63174,0,0,773,0,1,2,3
11,Golfe de Rothlyt,5,4,7,63174,0,0,774,0,2,3,1
12,Golfe de Rothlyt,5,4,7,63174,0,0,775,0,3,1,2
13,Muni,8,9,11,63175,63176,11,952,68089,1,2,3
14,Muni,8,9,11,63175,63176,11,953,68089,2,3,1
15,Muni,8,9,11,63175,63176,11,954,68089,3,1,2
16,Mer de Rubis,8,9,10,63177,63178,11,955,68089,1,2,3
17,Mer de Rubis,8,9,10,63177,63178,11,956,68089,2,3,1
18,Mer de Rubis,8,9,10,63177,63178,11,957,68089,3,1,2
