#,TerritoryType,Radius,PlaceName,GatheringPointBase,Unknown0,Unknown1,X,Y,GatheringLevel,Unknown2,Unknown3,IsShadowNode
0,613,800,2511,464,0,0,1578,1434,65,2,0,False
1,613,600,2512,465,0,0,1344,516,65,2,1,False
2,613,600,2513,466,0,0,828,964,65,2,2,False
3,613,600,2514,467,0,0,768,1180,65,2,3,False
4,613,600,2515,468,0,0,192,1802,65,2,4,False
5,613,600,2516,472,0,0,1892,264,70,2,5,False
6,614,600,2517,469,0,0,704,1824,65,2,6,False
7,614,600,2518,470,0,0,1022,1782,65,2,7,False
8,614,600,2519,471,0,0,1688,1776,65,2,8,False
9,614,600,2520,473,0,0,444,1660,70,2,9,False
10,614,600,2521,474,0,0,496,484,70,2,10,False
11,622,600,2522,475,0,0,900,1100,70,2,11,False
12,622,600,2523,476,0,0,1100,1100,70,4,12,False
13,621,600,2524,477,0,0,644,880,70,2,13,False
14,621,850,2525,478,0,0,1115,1190,70,2,14,False
15,621,600,2526,479,0,0,1180,1350,70,2,15,False
16,813,800,3341,635,0,0,656,1506,70,2,16,False
17,813,800,3342,636,0,0,324,1562,75,2,17,False
18,813,800,3343,637,0,0,646,1824,75,4,18,False
19,816,600,3344,638,0,0,968,620,75,2,19,False
20,816,800,3345,639,0,0,934,1046,75,2,20,False
21,816,800,3346,640,0,0,1224,1224,80,2,21,False
22,816,800,3347,641,0,0,1456,1404,80,2,22,False
23,816,800,3348,642,0,0,1412,1784,80,2,23,False
24,817,800,3349,643,0,0,216,1234,80,2,24,False
25,817,800,3350,644,0,0,424,1444,80,2,25,False
26,817,300,3456,696,0,0,265,1335,70,2,26,False
27,817,300,3457,697,0,0,185,1465,70,4,27,False
28,613,300,3627,480,0,0,1961,433,70,2,28,True
29,613,300,3628,530,0,0,1911,89,70,2,29,True
30,614,300,3629,481,0,0,501,1839,70,2,30,True
31,622,225,3630,482,0,0,1034,1211,70,4,31,True
32,621,225,3631,483,0,0,1056,1194,70,1,32,True
33,813,300,3632,645,0,0,560,1757,75,2,33,True
34,816,300,3633,646,0,0,1450,1183,80,2,34,True
35,817,300,3634,647,0,0,234,1403,80,2,35,True
36,957,750,3746,889,0,0,694,1792,85,2,36,False
37,613,750,3751,890,0,0,1361,125,85,2,37,False
38,613,600,3752,891,0,0,500,644,85,2,38,False
39,613,900,3753,892,0,0,1361,1015,85,2,39,False
40,957,750,3747,893,0,0,367,1639,90,2,40,False
41,957,750,3748,894,0,0,183,1389,90,2,41,False
42,957,600,3749,895,0,0,1165,1188,90,2,42,False
43,613,750,3754,896,0,0,1812,563,90,2,43,False
44,613,900,3755,897,0,0,1937,1532,90,2,44,False
45,621,750,3758,898,0,0,1099,844,90,2,45,False
46,613,300,3756,899,0,0,1119,115,85,2,46,True
47,957,300,3750,900,0,0,292,1764,90,2,47,True
48,621,600,4179,903,0,0,975,1398,85,2,48,False
49,613,600,3757,904,0,0,1136,1319,85,2,49,False
50,813,800,4281,915,0,0,264,1807,85,2,50,False
51,816,600,4282,916,0,0,728,803,85,2,51,False
52,139,600,4283,917,0,0,1185,1023,90,2,52,False
53,613,600,4429,942,0,0,910,620,85,2,53,False
54,139,600,4430,943,0,0,900,1025,90,4,54,False
55,1187,800,5077,1005,0,0,264,967,95,4,55,False
56,1188,600,5078,1006,0,0,1338,1469,95,2,56,False
57,1188,600,5079,1007,0,0,1010,1616,95,4,57,False
58,1189,600,5081,1008,0,0,214,332,95,4,58,False
59,1189,600,5082,1009,0,0,1385,190,100,2,59,False
60,1189,600,5083,1010,0,0,1683,332,100,4,60,False
61,1190,600,5085,1011,0,0,1528,508,100,2,61,False
62,1188,225,5080,1012,0,0,1209,1514,95,1,62,True
63,1189,300,5084,1013,0,0,1522,303,100,1,63,True
