#,InlineName,Name,Color,Shade,Unknown0,Unknown1,SubOrder,IsMetallic,IsHousingApplicable
0,aucune,Aucune,0,5728,0,2,1,False,True
1,blanc neige,Blanc neige,14999504,52254,0,2,2,False,True
2,gris cendre,Gris cendre,11315362,52254,0,2,3,False,True
3,gris goobbue,Gris goobbue,9013124,52254,0,2,4,False,True
4,gris ardoise,Gris ardoise,6645093,52254,0,2,5,False,True
5,gris charbon,Gris charbon,4736834,52254,0,2,6,False,True
6,noir suie,Noir suie,2828579,52254,0,2,7,False,True
7,rose floral,Rose floral,15114134,52254,0,4,1,False,True
8,lilas,Lilas,8612201,52254,0,4,2,False,True
9,rouge rolanbaie,Rouge rolanbaie,5969705,52254,0,4,3,False,True
10,rouge Dalamud,Rouge Dalamud,7871002,52254,0,4,4,False,True
11,rouille,Rouille,6431239,52254,0,4,5,False,True
12,lie-de-vin,Lie-de-vin,4527377,52254,0,4,6,False,True
13,rose corail,Rose corail,13397086,52254,0,4,7,False,True
14,rouge sang,Rouge sang,9517863,52254,0,4,8,False,True
15,rose saumon,Rose saumon,14985866,52254,0,4,9,False,True
16,orange couchant,Orange couchant,12016685,52254,0,5,1,False,True
17,vermillon terne,Vermillon terne,8206598,52254,0,5,2,False,True
18,marron écorce,Marron écorce,6966071,52254,0,5,3,False,True
19,chocolat,Chocolat,7224612,52254,0,5,4,False,True
20,brun fauve,Brun fauve,5188895,52254,0,5,5,False,True
21,brun kobold,Brun kobold,3154203,52254,0,5,6,False,True
22,brun liège,Brun liège,13209942,52254,0,5,7,False,True
23,brun qiqirn,Brun qiqirn,10055231,52254,0,5,8,False,True
24,brun opo-opo,Brun opo-opo,8084525,52254,0,5,9,False,True
25,brun bouquetin,Brun bouquetin,10651484,52254,0,5,10,False,True
26,orange citrouille,Orange citrouille,12940324,52254,0,5,11,False,True
27,brun noisette,Brun noisette,9328667,52254,0,5,12,False,True
28,feuille-morte,Feuille-morte,6570518,52254,0,5,13,False,True
29,brun châtaigne,Brun châtaigne,4008205,52254,0,5,14,False,True
30,brun gobelin,Brun gobelin,12166281,52254,0,5,15,False,True
31,brun schiste,Brun schiste,9601388,52254,0,5,16,False,True
32,brun taupe,Brun taupe,6378053,52254,0,5,17,False,True
33,brun argile,Brun argile,4141865,52254,0,5,18,False,True
34,ivoire,Ivoire,15455136,52254,0,6,1,False,True
35,ocre uldien,Ocre uldien,12034928,52254,0,6,2,False,True
36,jaune chocobo,Jaune désert,14398551,52254,0,6,3,False,True
37,jaune miel,Jaune miel,16434731,52254,0,6,4,False,True
38,jaune milli-maïs,Jaune milli-maïs,14982708,52254,0,6,5,False,True
39,jaune coeurl,Jaune coeurl,12355588,52254,0,6,6,False,True
40,jaune crème,Jaune crème,15914864,52254,0,6,7,False,True
41,jaune Halatali,Jaune Halatali,10847280,52254,0,6,8,False,True
42,raisin sec,Raisin sec,4207377,52254,0,6,9,False,True
43,kaki,Kaki,5788208,52254,0,7,1,False,True
44,vert sylphe,Vert sylphe,12303242,52254,0,7,2,False,True
45,vert citron,Vert citron,11251796,52254,0,7,3,False,True
46,vert mousse,Vert mousse,7369510,52254,0,7,4,False,True
47,vert prairie,Vert prairie,9149539,52254,0,7,5,False,True
48,vert olive,Vert olive,4936242,52254,0,7,6,False,True
49,vert viridien,Vert viridien,3290657,52254,0,7,7,False,True
50,vert pomme,Vert pomme,10204003,52254,0,7,8,False,True
51,vert cactuar,Vert cactuar,6652481,52254,0,7,9,False,True
52,vert chasseur,Vert chasseur,2640684,52254,0,7,10,False,True
53,vert otyugh,Vert otyugh,4219705,52254,0,7,11,False,True
54,vert adamankhélone,Vert adamankhélone,6255960,52254,0,7,12,False,True
55,vert Nophica,Vert Nophica,3886396,52254,0,7,13,False,True
56,vert sapin,Vert sapin,1976865,52254,0,7,14,False,True
57,vert céleste,Vert céleste,9878969,52254,0,7,15,False,True
58,turquoise,Turquoise,4420210,52254,0,7,16,False,True
