2,EarlyAccess,1377648000,Early Access
3,Halloween2013,1382054400,Halloween 2013
4,ARealmAwoken2.1,1387267200,A Realm Awoken 2.1
6,Patch2.15,1390278600,Patch 2.15
7,Patch2.16,1392940800,Patch 2.16
8,ThroughTheMaelstrom2.2,1395849600,Through The Maelstrom 2.2
9,Patch2.25,1398347294,Patch 2.25
10,Patch2.28,1401969600,Patch 2.28
11,DefendersOfEorzea2.3,1404795600,Defenders Of Eorzea 2.3
12,Patch2.35,1408442400,Patch 2.35
13,Patch2.38,1410825600,Patch 2.38
14,DreamsOfIce2.4,1414483200,Dreams Of Ice 2.4
15,Patch2.45,1418119200,Patch 2.45
16,BeforeTheFall2.5,1421744400,Before The Fall 2.5
17,Patch2.51,1424768400,Patch 2.51
18,Patch2.55,1427781600,Patch 2.55
19,Patch3.0,1434700800,Heavensward! 3.0
20,Patch3.01,1436263200,Patch 3.01
21,Patch3.05,1437472800,Patch 3.05
22,Patch3.07,1440495000,Patch 3.07
